Job arriving time,# of container,Job elapsed time,Job type
149574,10,1758,1
149574,6,1002,1
149574,10,127,0
149610,6,125,1
149610,2,126,0
149925,9,190,1
149988,7,,2
150105,13,125,1
150219,3,44,1
150223,1,,2
150250,9,169,0
150304,9,155,1
150304,9,184,0
150406,3,31,1
150430,8,671,0
150481,3,,2
150524,1,931,0
150584,10,676,1
150984,10,37,1
151218,9,34,0
151402,8,593,1
151514,7,,2
151610,3,,2
151610,4,74,1
151614,4,,2
151614,5,1655,1
151614,9,47,1
151901,7,37,1
151929,4,,2
152065,4,,2
152105,2,135,1
152105,8,166,0
152177,4,51,1
152363,6,200,1
153735,28,186,1
154225,10,,2
154225,8,93,1
154225,4,133,1
154274,7,88,1
154274,7,87,1
154307,1,27,0
154972,7,30,0
154996,8,28,1
155208,2,,2
155556,2,655,1
155619,3,48,1
155619,7,33,1
156603,8,,2
156629,1,202,1
156631,2,368,0
156855,28,200,1
157219,4,421,0
157483,8,33,1
158763,10,31,0
158865,2,60,1
159012,7,39,1
159048,9,46,1
159303,5,250,1
159303,3,37,1
159303,4,32,1
159303,7,47,0
159953,13,237,1
160033,5,41,1
160073,2,34,0
160815,7,203,1
160815,3,72,1
160839,8,40,0
160884,15,201,1
160887,1,28,0
162147,9,154,1
162147,1,171,0
162299,4,,2
162299,6,106,1
162323,6,,2
162323,2,116,0
162377,9,35,1
162622,5,44,1
163054,9,,2
163054,2,62,0
163108,2,34,1
163182,1,,2
163196,2,78,1
163898,6,33,1
164006,6,479,0
165346,10,,2
166075,9,,2
167205,10,,2
167229,3,,2
167397,7,276,0
167453,7,33,1
168317,8,32,0
168593,3,40,0
168823,10,,2
170182,9,33,1
170317,9,29,0
170512,5,237,1
170863,9,67,1
170884,7,124,1
171318,7,,2
171339,3,43,0
171439,10,27,1
173014,9,63,1
174643,9,37,1
174903,10,70,1
177695,8,67,1
177803,6,40,1
177823,5,35,1
177891,4,,2
178017,7,,2
178047,2,595,1
178047,1,39,1
178047,6,33,1
178327,7,2465,1
178369,6,,2
178405,9,42,1
178810,9,,2
178901,7,108,0
178904,1,400,1
178928,8,111,1
178956,7,111,1
179071,5,35,1
179087,8,166,1
179128,1,,2
179182,6,,2
179616,7,2395,1
179786,10,2386,1
179915,3,38,0
180048,7,,2
180048,1,226,0
180244,4,43,0
180489,5,36,0
180721,4,,2
181106,5,,2
181232,9,159,1
181662,2,103,1
181662,2,74,0
181665,1,74,1
181665,9,73,1
182045,10,,2
182270,9,,2
182270,1,75,1
182270,8,647,0
182270,6,473,0
182270,2,46,0
182282,2,72,1
182506,4,32,0
182724,2,25,0
182748,4,,2
182850,6,,2
182850,10,576,1
183126,46,504,1
183531,9,234,1
183531,8,384,0
183771,40,,2
183771,15,380,1
183771,2,382,0
183867,3,,2
184323,4,45,1
184767,3,38,1
185212,5,34,1
185317,7,34,1
185581,6,,2
185925,4,2937,1
185925,9,2051,1
185925,2,415,1
187069,8,366,1
187072,1,,2
187217,29,362,1
187737,10,30,1
187982,7,1973,1
187982,2,222,0
188210,38,1876,1
188210,43,218,1
188214,1,29,0
188254,1,303,1
188254,10,97,0
188356,2,2840,1
188536,20,,2
188536,7,,2
188606,1,687,0
188686,4,,2
188686,1,56,1
188707,7,39,1
189177,10,154,1
189177,1,791,0
189513,7,224,1
189675,3,202,1
189815,4,,2
189815,1,219,0
189859,4,46,0
189880,7,41,0
190180,6,,2
190180,30,,2
190180,5,38,1
190212,2,,2
190617,5,41,0
190892,5,,2
191236,8,30,1
191368,4,,2
191404,2,,2
191404,7,2387,0
191834,5,89,1
191915,1,,2
191915,1,58,1
191921,3,68,1
191921,8,64,1
191961,4,,2
192081,10,,2
192081,7,705,1
192081,10,35,1
192281,4,,2
192281,5,92,1
192311,6,2311,1
192311,3,89,1
192466,5,39,1
192682,18,75,0
193882,8,173,0
194226,8,40,1
196316,10,538,0
196372,8,29,1
196687,9,39,1
196723,6,3496,0
196723,10,197,0
197461,6,,2
197521,1,31,1
197893,6,,2
197899,2,,2
197929,5,2428,1
198230,7,,2
198230,9,256,1
198284,1,,2
198354,10,136,1
198655,7,162,1
198655,6,49,1
198655,3,39,1
198747,2,35,1
198876,3,36,1
199290,9,634,1
199338,8,1239,1
199758,7,405,1
199778,5,405,1
199798,5,359,0
200050,3,136,1
200182,3,,2
200182,6,359,1
200182,4,46,1
200209,9,360,0
200215,2,307,1
200215,4,297,1
200227,4,,2
200332,35,291,1
200332,32,271,1
200456,31,270,0
200646,2,217,1
200730,4,26,1
202000,10,1111,0
202264,4,33,0
202436,4,,2
202436,10,128,1
202844,8,143,1
