Job arriving time,# of container,Job elapsed time,Job type
30104,1,,2
30218,1,45,1
30366,1,38,1
30455,1,34,1
30470,1,34,1
30514,1,,2
30600,1,2937,1
30600,1,2051,1
30600,1,415,1
30743,1,366,1
30746,1,,2
30751,29,362,1
30803,1,30,1
30838,1,1973,1
30838,1,222,0
30844,38,1876,1
30844,43,218,1
30848,1,29,0
30888,1,303,1
30888,1,97,0
30939,1,2840,1
30948,20,,2
30948,1,,2
31018,1,687,0
31038,1,,2
31038,1,56,1
31041,1,39,1
31088,1,154,1
31088,1,791,0
31136,1,224,1
31190,3,202,1
31225,1,,2
31225,1,219,0
31236,1,46,0
31239,1,41,0
31289,1,,2
31289,30,,2
31289,1,38,1
31305,1,,2
31386,1,41,0
31441,1,,2
31484,1,30,1
31517,1,,2
31535,1,,2
31535,1,2387,0
31621,1,89,1
31702,1,,2
31702,1,58,1
31704,1,68,1
31704,1,64,1
31714,1,,2
31726,1,,2
31726,1,705,1
31726,1,35,1
31776,1,,2
31776,1,92,1
31781,6,2311,1
31781,3,89,1
31812,1,39,1
31824,18,75,0
31974,1,173,0
32017,1,40,1
32226,1,538,0
32233,1,29,1
32268,1,39,1
32274,1,3496,0
32274,1,197,0
32397,1,,2
32457,1,31,1
32519,1,,2
32522,1,,2
32528,1,2428,1
32571,1,,2
32571,1,256,1
32625,1,,2
32632,1,136,1
32675,1,162,1
32675,1,49,1
32675,1,39,1
32721,1,35,1
32764,1,36,1
32810,1,634,1
32816,1,1239,1
32876,1,405,1
32880,1,405,1
32884,1,359,0
32968,1,136,1
33012,1,,2
33012,1,359,1
33012,1,46,1
33015,1,360,0
33018,2,307,1
33018,1,297,1
33021,1,,2
33024,35,291,1
33024,32,271,1
33028,31,270,0
33123,1,217,1
33144,1,26,1
33271,1,1111,0
33337,1,33,0
33380,1,,2
33380,1,128,1
33431,1,143,1
33431,1,125,0
33431,1,125,0
33485,1,112,1
33540,1,107,0
33596,1,118,1
33596,1,113,0
33648,1,,2
33648,1,,2
33648,1,,2
33648,1,107,1
33648,1,57,0
33651,1,,2
33651,1,72,1
33654,1,,2
33664,1,37,0
33668,1,,2
33668,1,34,1
33699,1,155,1
33699,1,38,1
33699,1,349,0
33700,1,,2
33758,1,81,0
33770,1,,2
33791,1,36,0
33812,1,,2
33812,1,,2
33812,1,70,1
33812,1,45,1
33812,1,189,0
33818,5,188,1
33872,1,35,1
33872,1,131,0
33889,1,29,1
33898,1,35,0
33928,1,,2
33928,1,41,1
33969,1,35,0
33983,1,27,1
33983,1,34,0
34037,1,165,1
34089,1,,2
34089,1,2429,1
34089,1,2907,0
34143,1,,2
34317,1,27,1
34346,1,89,1
34438,1,,2
34462,1,35,1
34536,1,,2
34536,1,168,1
34653,1,,2
34660,1,32,1
34730,1,62,1
34730,1,679,0
34736,2,676,1
34793,1,,2
34826,1,156,1
34836,1,,2
34838,1,28,0
34887,1,,2
34916,1,,2
35007,1,38,1
35030,1,24,0
35073,1,483,1
35128,1,,2
35128,37,3377,1
35179,1,1167,1
35179,1,25,1
35270,1,33,0
35308,1,,2
35312,1,124,0
35326,1,,2
35374,1,,2
35374,1,52,1
35520,1,116,1
35524,1,39,1
35526,1,74,1
35530,1,94,1
35533,1,79,1
35536,1,78,1
35572,1,48,1
35628,1,33,1
35768,1,3110,1
35768,1,2393,1
35801,1,,2
35870,1,,2
36037,1,,2
36076,1,,2
36079,1,55,0
36111,1,,2
36111,1,133,1
36111,1,398,0
36215,1,36,1
36216,1,35,0
